State,Total population,Number in poverty,Margin of error (±) (34),Percent in poverty,Margin of error (±) (34),Year
Alabama,"4,99",681,100,13.6,2.0,2022
Alaska,708,68,12,9.6,1.7,2022
Arizona,"7,239",920,166,12.7,2.3,2022
Arkansas,"2,993",496,68,16.6,2.3,2022
California,"38,69","4,346",346,11.2,0.9,2022
Colorado,"5,732",465,92,8.1,1.6,2022
Connecticut,"3,602",368,93,10.2,2.6,2022
Delaware,"1,035",97,23,9.3,2.2,2022
District of Columbia,654,88,16,13.4,2.4,2022
Florida,"22,19","2,988",302,13.5,1.4,2022
Georgia,"10,92","1,28",195,11.7,1.8,2022
Hawaii,"1,423",126,28,8.8,2.0,2022
Idaho,"1,947",159,27,8.2,1.4,2022
Illinois,"12,35","1,173",170,9.5,1.4,2022
Indiana,"6,792",704,125,10.4,1.9,2022
Iowa,"3,183",299,58,9.4,1.9,2022
Kansas,"2,846",298,68,10.5,2.4,2022
Kentucky,"4,453",763,141,17.1,3.1,2022
Louisiana,"4,519",761,105,16.9,2.3,2022
Maine,"1,381",133,30,9.6,2.1,2022
Maryland,"6,202",535,127,8.6,2.0,2022
Massachusetts,"6,86",658,96,9.6,1.4,2022
Michigan,"9,961","1,206",170,12.1,1.7,2022
Minnesota,"5,626",427,97,7.6,1.7,2022
Mississippi,"2,881",531,83,18.4,2.8,2022
Missouri,"6,057",693,101,11.4,1.7,2022
Montana,"1,119",117,20,10.4,1.7,2022
Nebraska,"1,946",154,45,7.9,2.3,2022
Nevada,"3,17",380,83,12.0,2.6,2022
New Hampshire,"1,385",115,26,8.3,1.9,2022
New Jersey,"9,151",799,162,8.7,1.8,2022
New Mexico,"2,113",427,89,20.2,4.1,2022
New York,"19,49","2,48",287,12.7,1.5,2022
North Carolina,"10,74","1,525",200,14.2,1.9,2022
North Dakota,764,74,15,9.7,2.0,2022
Ohio,"11,62","1,154",171,9.9,1.5,2022
Oklahoma,"3,948",665,108,16.9,2.7,2022
Oregon,"4,23",419,89,9.9,2.1,2022
Pennsylvania,"12,74","1,383",207,10.9,1.6,2022
Rhode Island,"1,069",90,24,8.4,2.2,2022
South Carolina,"5,262",677,120,12.9,2.2,2022
South Dakota,886,80,19,9.1,2.1,2022
Tennessee,"7,01",736,168,10.5,2.4,2022
Texas,"29,92","4,031",310,13.5,1.0,2022
Utah,"3,338",200,47,6.0,1.4,2022
Vermont,641,58,12,9.0,1.8,2022
Virginia,"8,489",704,132,8.3,1.6,2022
Washington,"7,705",696,129,9.0,1.7,2022
West Virginia,"1,746",270,31,15.5,1.8,2022
Wisconsin,"5,807",386,80,6.6,1.4,2022
Wyoming,562,40,7,7.1,1.3,2022
Alabama,"4,961",787,78,15.9,1.6,2021
Alaska,712,81,19,11.4,2.6,2021
Arizona,"7,303",922,144,12.6,2.0,2021
Arkansas,"2,981",502,55,16.8,1.9,2021
California,"38,77","4,615",284,11.9,0.7,2021
Colorado,"5,724",455,103,7.9,1.8,2021
Connecticut,"3,553",285,70,8.0,1.9,2021
Delaware,996,117,23,11.7,2.3,2021
District of Columbia,650,91,14,14.0,2.2,2021
Florida,"21,65","2,721",283,12.6,1.3,2021
Georgia,"10,67","1,49",226,14.0,2.1,2021
Hawaii,"1,427",156,29,10.9,2.0,2021
Idaho,"1,905",177,33,9.3,1.7,2021
Illinois,"12,46","1,339",192,10.7,1.5,2021
Indiana,"6,778",704,101,10.4,1.5,2021
Iowa,"3,182",309,48,9.7,1.5,2021
Kansas,"2,891",206,61,7.1,2.1,2021
Kentucky,"4,459",725,114,16.2,2.6,2021
Louisiana,"4,519",830,107,18.4,2.4,2021
Maine,"1,354",123,31,9.1,2.2,2021
Maryland,"6,095",469,100,7.7,1.7,2021
Massachusetts,"6,841",522,83,7.6,1.2,2021
Michigan,"9,842","1,147",179,11.7,1.9,2021
Minnesota,"5,532",382,99,6.9,1.8,2021
Mississippi,"2,913",506,64,17.4,2.2,2021
Missouri,"6,046",742,168,12.3,2.8,2021
Montana,"1,114",120,20,10.7,1.8,2021
Nebraska,"1,97",159,38,8.1,1.9,2021
Nevada,"3,089",397,70,12.8,2.2,2021
New Hampshire,"1,39",96,23,6.9,1.7,2021
New Jersey,"9,22",698,123,7.6,1.3,2021
New Mexico,"2,097",377,56,18.0,2.7,2021
New York,"19,35","2,428",231,12.5,1.2,2021
North Carolina,"10,6","1,249",137,11.8,1.3,2021
North Dakota,760,65,11,8.5,1.5,2021
Ohio,"11,74","1,364",185,11.6,1.6,2021
Oklahoma,"3,904",589,85,15.1,2.2,2021
Oregon,"4,22",389,85,9.2,2.0,2021
Pennsylvania,"12,64","1,362",196,10.8,1.5,2021
Rhode Island,"1,087",102,27,9.4,2.5,2021
South Carolina,"5,214",713,101,13.7,2.0,2021
South Dakota,884,74,20,8.4,2.3,2021
Tennessee,"6,958",740,125,10.6,1.8,2021
Texas,"29,39","3,977",341,13.5,1.2,2021
Utah,"3,333",264,56,7.9,1.7,2021
Vermont,631,47,10,7.5,1.6,2021
Virginia,"8,489",831,139,9.8,1.6,2021
Washington,"7,67",587,135,7.7,1.8,2021
West Virginia,"1,754",296,35,16.9,2.1,2021
Wisconsin,"5,91",551,115,9.3,1.9,2021
Wyoming,568,53,12,9.4,2.1,2021
Alabama,"5,001",744,139,14.9,2.8,2020
